Currency in USD,,,,,,
Date,Open,High,Low,Close*,Adj. close**,Volume
25-Aug-17,"2,444.72","2,453.96","2,442.22","2,443.05","2,443.05","2,588,780,000"
24-Aug-17,"2,447.91","2,450.39","2,436.19","2,438.97","2,438.97","2,846,590,000"
23-Aug-17,"2,444.88","2,448.91","2,441.42","2,444.04","2,444.04","2,785,290,000"
22-Aug-17,"2,433.75","2,454.77","2,433.67","2,452.51","2,452.51","2,777,490,000"
21-Aug-17,"2,425.50","2,430.58","2,417.35","2,428.37","2,428.37","2,788,150,000"
18-Aug-17,"2,427.64","2,440.27","2,420.69","2,425.55","2,425.55","3,415,680,000"
17-Aug-17,"2,462.95","2,465.02","2,430.01","2,430.01","2,430.01","3,142,620,000"
16-Aug-17,"2,468.63","2,474.93","2,463.86","2,468.11","2,468.11","2,953,650,000"
15-Aug-17,"2,468.66","2,468.90","2,461.61","2,464.61","2,464.61","2,913,100,000"
14-Aug-17,"2,454.96","2,468.22","2,454.96","2,465.84","2,465.84","2,822,550,000"
11-Aug-17,"2,441.04","2,448.09","2,437.85","2,441.32","2,441.32","3,159,930,000"
10-Aug-17,"2,465.38","2,465.38","2,437.75","2,438.21","2,438.21","3,621,070,000"
9-Aug-17,"2,465.35","2,474.41","2,462.08","2,474.02","2,474.02","3,308,060,000"
8-Aug-17,"2,478.35","2,490.87","2,470.32","2,474.92","2,474.92","3,344,640,000"
7-Aug-17,"2,477.14","2,480.95","2,475.88","2,480.91","2,480.91","2,931,780,000"
4-Aug-17,"2,476.88","2,480.00","2,472.08","2,476.83","2,476.83","3,235,140,000"
3-Aug-17,"2,476.03","2,476.03","2,468.85","2,472.16","2,472.16","3,645,020,000"
2-Aug-17,"2,480.38","2,480.38","2,466.48","2,477.57","2,477.57","3,478,580,000"
1-Aug-17,"2,477.10","2,478.51","2,471.14","2,476.35","2,476.35","3,460,860,000"
31-Jul-17,"2,475.94","2,477.96","2,468.53","2,470.30","2,470.30","3,469,210,000"
28-Jul-17,"2,469.12","2,473.53","2,464.66","2,472.10","2,472.10","3,294,770,000"
27-Jul-17,"2,482.76","2,484.04","2,459.93","2,475.42","2,475.42","3,995,520,000"
26-Jul-17,"2,479.97","2,481.69","2,474.94","2,477.83","2,477.83","3,557,020,000"
25-Jul-17,"2,477.88","2,481.24","2,474.91","2,477.13","2,477.13","4,108,060,000"
24-Jul-17,"2,472.04","2,473.10","2,466.32","2,469.91","2,469.91","3,010,240,000"
21-Jul-17,"2,467.40","2,472.54","2,465.06","2,472.54","2,472.54","3,059,570,000"
20-Jul-17,"2,475.56","2,477.62","2,468.43","2,473.45","2,473.45","3,182,780,000"
19-Jul-17,"2,463.85","2,473.83","2,463.85","2,473.83","2,473.83","3,059,760,000"
18-Jul-17,"2,455.88","2,460.92","2,450.34","2,460.61","2,460.61","2,962,130,000"
17-Jul-17,"2,459.50","2,462.82","2,457.16","2,459.14","2,459.14","2,793,170,000"
14-Jul-17,"2,449.16","2,463.54","2,446.69","2,459.27","2,459.27","2,736,640,000"
13-Jul-17,"2,444.99","2,449.32","2,441.69","2,447.83","2,447.83","3,067,670,000"
12-Jul-17,"2,435.75","2,445.76","2,435.75","2,443.25","2,443.25","3,171,620,000"
11-Jul-17,"2,427.35","2,429.30","2,412.79","2,425.53","2,425.53","3,106,750,000"
10-Jul-17,"2,424.51","2,432.00","2,422.27","2,427.43","2,427.43","2,999,130,000"
7-Jul-17,"2,413.52","2,426.92","2,413.52","2,425.18","2,425.18","2,901,330,000"
6-Jul-17,"2,423.44","2,424.28","2,407.70","2,409.75","2,409.75","3,364,520,000"
5-Jul-17,"2,430.78","2,434.90","2,422.05","2,432.54","2,432.54","3,367,220,000"
3-Jul-17,"2,431.39","2,439.17","2,428.69","2,429.01","2,429.01","1,962,290,000"
30-Jun-17,"2,429.20","2,432.71","2,421.65","2,423.41","2,423.41","3,361,590,000"
29-Jun-17,"2,442.38","2,442.73","2,405.70","2,419.70","2,419.70","3,900,280,000"
28-Jun-17,"2,428.70","2,442.97","2,428.02","2,440.69","2,440.69","3,500,800,000"
27-Jun-17,"2,436.34","2,440.15","2,419.38","2,419.38","2,419.38","3,563,910,000"
26-Jun-17,"2,443.32","2,450.42","2,437.03","2,439.07","2,439.07","3,238,970,000"
23-Jun-17,"2,434.65","2,441.40","2,431.11","2,438.30","2,438.30","5,278,330,000"
22-Jun-17,"2,437.40","2,441.62","2,433.27","2,434.50","2,434.50","3,468,210,000"
21-Jun-17,"2,439.31","2,442.23","2,430.74","2,435.61","2,435.61","3,594,820,000"
20-Jun-17,"2,450.66","2,450.66","2,436.60","2,437.03","2,437.03","3,416,510,000"
19-Jun-17,"2,442.55","2,453.82","2,441.79","2,453.46","2,453.46","3,264,700,000"
16-Jun-17,"2,431.24","2,433.15","2,422.88","2,433.15","2,433.15","5,284,720,000"
15-Jun-17,"2,424.14","2,433.95","2,418.53","2,432.46","2,432.46","3,353,050,000"
14-Jun-17,"2,443.75","2,443.75","2,428.34","2,437.92","2,437.92","3,555,590,000"
13-Jun-17,"2,434.15","2,441.49","2,431.28","2,440.35","2,440.35","3,275,500,000"
12-Jun-17,"2,425.88","2,430.38","2,419.97","2,429.39","2,429.39","4,027,750,000"
9-Jun-17,"2,436.39","2,446.20","2,415.70","2,431.77","2,431.77","4,027,340,000"
8-Jun-17,"2,434.27","2,439.27","2,427.94","2,433.79","2,433.79","3,728,860,000"
7-Jun-17,"2,432.03","2,435.28","2,424.75","2,433.14","2,433.14","3,572,300,000"
6-Jun-17,"2,431.92","2,436.21","2,428.12","2,429.33","2,429.33","3,357,840,000"
5-Jun-17,"2,437.83","2,439.55","2,434.32","2,436.10","2,436.10","2,912,600,000"
2-Jun-17,"2,431.28","2,440.23","2,427.71","2,439.07","2,439.07","3,461,680,000"
1-Jun-17,"2,415.65","2,430.06","2,413.54","2,430.06","2,430.06","3,857,140,000"
31-May-17,"2,415.63","2,415.99","2,403.59","2,411.80","2,411.80","4,516,110,000"
30-May-17,"2,411.67","2,415.26","2,409.43","2,412.91","2,412.91","3,203,160,000"
26-May-17,"2,414.50","2,416.68","2,412.20","2,415.82","2,415.82","2,805,040,000"
25-May-17,"2,409.54","2,418.71","2,408.01","2,415.07","2,415.07","3,535,390,000"
24-May-17,"2,401.41","2,405.58","2,397.99","2,404.39","2,404.39","3,389,900,000"
23-May-17,"2,397.04","2,400.85","2,393.88","2,398.42","2,398.42","3,213,570,000"
22-May-17,"2,387.21","2,395.46","2,386.92","2,394.02","2,394.02","3,172,830,000"
19-May-17,"2,371.37","2,389.06","2,370.43","2,381.73","2,381.73","3,825,160,000"
18-May-17,"2,354.69","2,375.74","2,352.72","2,365.72","2,365.72","4,319,420,000"
17-May-17,"2,382.95","2,384.87","2,356.21","2,357.03","2,357.03","4,163,000,000"
16-May-17,"2,404.55","2,405.77","2,396.05","2,400.67","2,400.67","3,420,790,000"
15-May-17,"2,393.98","2,404.05","2,393.94","2,402.32","2,402.32","3,473,600,000"
12-May-17,"2,392.44","2,392.44","2,387.19","2,390.90","2,390.90","3,305,630,000"
11-May-17,"2,394.84","2,395.72","2,381.74","2,394.44","2,394.44","3,727,420,000"
10-May-17,"2,396.79","2,399.74","2,392.79","2,399.63","2,399.63","3,643,530,000"
9-May-17,"2,401.58","2,403.87","2,392.44","2,396.92","2,396.92","3,653,590,000"
8-May-17,"2,399.94","2,401.36","2,393.92","2,399.38","2,399.38","3,429,440,000"
5-May-17,"2,392.37","2,399.29","2,389.38","2,399.29","2,399.29","3,540,140,000"
4-May-17,"2,389.79","2,391.43","2,380.35","2,389.52","2,389.52","4,362,540,000"
3-May-17,"2,386.50","2,389.82","2,379.75","2,388.13","2,388.13","3,893,990,000"
2-May-17,"2,391.05","2,392.93","2,385.82","2,391.17","2,391.17","3,813,680,000"
1-May-17,"2,388.50","2,394.49","2,384.83","2,388.33","2,388.33","3,199,240,000"
28-Apr-17,"2,393.68","2,393.68","2,382.36","2,384.20","2,384.20","3,718,270,000"
27-Apr-17,"2,389.70","2,392.10","2,382.68","2,388.77","2,388.77","4,098,460,000"
26-Apr-17,"2,388.98","2,398.16","2,386.78","2,387.45","2,387.45","4,105,920,000"
25-Apr-17,"2,381.51","2,392.48","2,381.15","2,388.61","2,388.61","3,995,240,000"
24-Apr-17,"2,370.33","2,376.98","2,369.19","2,374.15","2,374.15","3,690,650,000"
21-Apr-17,"2,354.74","2,356.18","2,344.51","2,348.69","2,348.69","3,503,360,000"
20-Apr-17,"2,342.69","2,361.37","2,340.91","2,355.84","2,355.84","3,647,420,000"
19-Apr-17,"2,346.79","2,352.63","2,335.05","2,338.17","2,338.17","3,519,900,000"
18-Apr-17,"2,342.53","2,348.35","2,334.54","2,342.19","2,342.19","3,269,840,000"
17-Apr-17,"2,332.62","2,349.14","2,332.51","2,349.01","2,349.01","2,824,710,000"
13-Apr-17,"2,341.98","2,348.26","2,328.95","2,328.95","2,328.95","3,143,890,000"
12-Apr-17,"2,352.15","2,352.72","2,341.18","2,344.93","2,344.93","3,196,950,000"
11-Apr-17,"2,353.92","2,355.22","2,337.25","2,353.78","2,353.78","3,117,420,000"
10-Apr-17,"2,357.16","2,366.37","2,351.50","2,357.16","2,357.16","2,785,410,000"
